Country or area,Subregion,Region,Internet users,Population
Ethiopia,Eastern Africa,Africa,"19,543,075","109,224,414"
Iraq,Western Asia,Asia,"18,892,351","38,433,600"
Uzbekistan,Central Asia,Asia,"16,692,456","32,476,244"
Myanmar,South-eastern Asia,Asia,"16,374,103","53,708,320"
Netherlands,Western Europe,Europe,"15,877,494","17,059,560"
Peru,South America,Americas,"15,674,241","31,989,260"
Chile,South America,Americas,"14,864,456","18,729,160"
Kazakhstan,Central Asia,Asia,"13,913,699","18,319,618"
Romania,Eastern Europe,Europe,"12,545,558","19,506,114"
Sudan,Northern Africa,Africa,"12,512,639","41,801,533"
Ghana,Western Africa,Africa,"15,065,541","29,767,102"
Côte d'Ivoire,Western Africa,Africa,"10,650,818","25,069,230"
Uganda,Eastern Africa,Africa,"10,162,807","42,729,036"
Belgium,Western Europe,Europe,"10,021,242","11,482,178"
Sweden,Northern Europe,Europe,"9,554,907","9,971,638"
Ecuador,South America,Americas,"9,521,056","17,084,358"
Tanzania,Eastern Africa,Africa,"30,000,000","56,313,438"
United Arab Emirates,Western Asia,Asia,"8,913,217","9,630,959"
Kenya,Eastern Africa,Africa,"8,861,485","51,392,565"
Czech Republic,Eastern Europe,Europe,"8,358,728","10,665,677"
Switzerland,Western Europe,Europe,"7,942,864","8,525,611"
Greece,Southern Europe,Europe,"7,923,438","10,522,246"
Azerbaijan,Western Asia,Asia,"7,763,795","9,949,537"
Austria,Western Europe,Europe,"7,681,957","8,891,388"
Portugal,Southern Europe,Europe,"7,622,142","10,256,193"
Yemen,Western Asia,Asia,"7,548,512","28,498,683"
Hungary,Eastern Europe,Europe,"7,461,297","9,707,499"
Sri Lanka,Southern Asia,Asia,"7,121,116","21,228,763"
Belarus,Eastern Europe,Europe,"7,048,231","9,452,617"
Democratic Republic of the Congo,Middle Africa,Africa,"7,011,507","84,068,091"
Dominican Republic,Caribbean,Americas,"6,997,472","10,627,141"
Guatemala,Central America,Americas,"11,750,000","17,247,849"
Israel,Western Asia,Asia,"6,788,737","8,381,516"
"Hong Kong, China",Eastern Asia,Asia,"6,585,678","7,371,730"
Jordan,Western Asia,Asia,"6,480,202","9,965,318"
Tunisia,Northern Africa,Africa,"6,400,330","11,565,201"
Nepal,Southern Asia,Asia,"16,190,000","28,095,714"
Syria,Western Asia,Asia,"6,257,430","16,945,057"
Serbia,Southern Europe,Europe,"6,182,411","8,802,754"
Mozambique,Eastern Africa,Africa,"6,162,217","29,496,004"
Cuba,Caribbean,Americas,"5,638,956","11,338,134"
Cameroon,Middle Africa,Africa,"5,580,465","25,216,267"
Denmark,Northern Europe,Europe,"5,407,278","5,752,126"
Cambodia,South-eastern Asia,Asia,"5,441,827","16,249,792"
Norway,Northern Europe,Europe,"5,120,225","5,337,962"
Bolivia,South America,Americas,"4,843,916","11,353,142"
Finland,Northern Europe,Europe,"4,831,170","5,522,576"
Singapore,South-eastern Asia,Asia,"4,821,119","5,757,499"
Zambia,Eastern Africa,Africa,"4,760,715","17,351,708"
Lebanon,Western Asia,Asia,"4,755,187","6,859,408"
Senegal,Western Africa,Africa,"4,698,108","15,854,323"
Bulgaria,Eastern Europe,Europe,"4,492,326","7,051,608"
Zimbabwe,Eastern Africa,Africa,"4,472,992","14,438,802"
Slovakia,Eastern Europe,Europe,"4,446,926","5,453,014"
New Zealand,"Australia, New Zealand",Oceania,"4,273,353","4,743,131"
Angola,Middle Africa,Africa,"4,271,053","30,809,787"
Paraguay,South America,Americas,"4,160,340","6,956,066"
Afghanistan,Southern Asia,Asia,"4,068,194","37,171,921"
Kuwait,Western Asia,Asia,"4,053,797","4,137,312"
Ireland,Northern Europe,Europe,"4,024,552","4,818,690"
Oman,Western Asia,Asia,"3,717,818","4,829,473"
Costa Rica,Central America,Americas,"3,511,549","4,999,441"
Palestine,Western Asia,Asia,"3,208,312",
Moldova,Eastern Europe,Europe,"3,083,783","4,051,944"
Burkina Faso,Western Africa,Africa,"3,047,909","19,751,466"
Honduras,Central America,Americas,"2,977,793","9,587,522"
Croatia,Southern Europe,Europe,"2,811,056","4,156,405"
Puerto Rico (U.S.),Caribbean,Americas,"2,664,928","3,039,596"
Rwanda,Eastern Africa,Africa,"2,657,770","12,301,970"
Malawi,Eastern Africa,Africa,"2,566,126","18,143,217"
Qatar,Western Asia,Asia,"2,532,059","2,781,682"
Madagascar,Eastern Africa,Africa,"2,505,948","26,262,313"
Bosnia and Herzegovina,Southern Europe,Europe,"2,320,000","3,323,925"
Panama,Central America,Americas,"2,371,852","4,176,869"
Georgia,Western Asia,Asia,"3,446,533","4,002,942"
Uruguay,South America,Americas,"2,360,269","3,449,285"
Mali,Western Africa,Africa,"2,358,540","19,077,749"
Kyrgyzstan,Central Asia,Asia,"2,309,235","6,304,030"
Lithuania,Northern Europe,Europe,"2,243,448","2,801,264"
Niger,Western Africa,Africa,"2,194,985","22,442,831"
Albania,Southern Europe,Europe,"2,105,339","2,882,740"
Armenia,Western Asia,Asia,"2,043,110","2,951,745"
El Salvador,Central America,Americas,"1,993,079","6,420,746"
Tajikistan,Central Asia,Asia,"1,959,127","9,100,835"
Laos,South-eastern Asia,Asia,"1,749,517","7,061,507"
Nicaragua,Central America,Americas,"1,732,218","6,465,501"
Slovenia,Southern Europe,Europe,"1,640,893","2,077,837"
North Macedonia,Southern Europe,Europe,"1,589,659","2,082,957"
Latvia,Northern Europe,Europe,"1,585,471","1,928,459"
Benin,Western Africa,Africa,"1,578,008","11,485,044"
Guinea,Western Africa,Africa,"1,449,758","12,414,293"
Bahrain,Western Asia,Asia,"1,431,090","1,569,446"
Jamaica,Caribbean,Americas,"1,409,888","2,934,847"
Libya,Northern Africa,Africa,"1,387,116","6,678,559"
Haiti,Caribbean,Americas,"1,353,986","11,123,178"
Turkmenistan,Central Asia,Asia,"1,223,591","5,850,901"
Estonia,Northern Europe,Europe,"1,153,786","1,322,920"
Trinidad and Tobago,Caribbean,Americas,"1,058,744","1,389,843"
Gabon,Middle Africa,Africa,"1,040,000","2,119,275"
South Sudan,Eastern Africa,Africa,"1,003,542","10,975,927"
Sierra Leone,Western Africa,Africa,"1,000,575","7,650,150"
Chad,Middle Africa,Africa,"968,500","15,477,729"
Togo,Western Africa,Africa,"963,795","7,889,093"
Cyprus,Western Asia,Asia,"952,369","1,189,265"
Botswana,Southern Africa,Africa,"948,977","2,254,068"
Namibia,Southern Africa,Africa,"933,450","2,448,301"
Papua New Guinea,Melanesia,Oceania,"924,955","8,606,323"
Mauritania,Western Africa,Africa,"919,398","4,403,313"
Mongolia,Eastern Asia,Asia,"729,236","3,170,216"
Mauritius,Eastern Africa,Africa,"702,911","1,267,185"
Lesotho,Southern Africa,Africa,"665,312","2,108,328"
Burundi,Eastern Africa,Africa,"607,311","11,175,374"
Luxembourg,Western Europe,Europe,"570,794","604,245"
Djibouti,Eastern Africa,Africa,"532,849","958,923"
"Macau, China",Eastern Asia,Asia,"517,789","631,636"
Congo,Middle Africa,Africa,"455,055","5,244,359"
Fiji,Melanesia,Oceania,"452,479","883,483"
Montenegro,Southern Europe,Europe,"505,055","627,809"
Gambia,Western Africa,Africa,"416,753","2,280,094"
Eswatini,Southern Africa,Africa,"414,278","1,136,281"
Brunei,South-eastern Asia,Asia,"406,705","428,963"
Bhutan,Southern Asia,Asia,"388,541","754,388"
Liberia,Western Africa,Africa,"377,607","4,818,973"
East Timor,South-eastern Asia,Asia,"356,356","1,267,974"
Malta,Southern Europe,Europe,"344,970","439,248"
Bahamas,Caribbean,Americas,"336,057","385,637"
Equatorial Guinea,Middle Africa,Africa,"332,642","1,308,975"
Iceland,Northern Europe,Europe,"329,196","336,713"
Cabo Verde,Western Africa,Africa,"312,315","543,767"
Somalia,Eastern Africa,Africa,"294,851","15,008,226"
Guyana,South America,Americas,"290,375","779,006"
Suriname,South America,Americas,"275,785","575,990"
Maldives,Southern Asia,Asia,"275,717","515,696"
Barbados,Caribbean,Americas,"233,604","286,641"
New Caledonia,Melanesia,Oceania,"226,557","279,993"
French Polynesia,Polynesia,Oceania,"205,746","277,679"
Central African Republic,Middle Africa,Africa,"202,204","4,666,368"
Belize,Central America,Americas,"176,400","383,071"
Guam,Micronesia,Oceania,"132,221","165,768"
Aruba (Netherlands),Caribbean,Americas,"102,285","105,845"
Saint Lucia,Caribbean,Americas,"90,889","181,889"
Antigua and Barbuda,Caribbean,Americas,"77,529","96,286"
Andorra,Southern Europe,Europe,"76,095","77,006"
Guinea-Bissau,Western Africa,Africa,"73,148","1,874,303"
Solomon Islands,Melanesia,Oceania,"72,872","652,857"
Saint Vincent and the Grenadines,Caribbean,Americas,"72,048","110,211"
Vanuatu,Melanesia,Oceania,"71,050","292,680"
Comoros,Eastern Africa,Africa,"69,020","832,322"
U.S. Virgin Islands,Caribbean,Americas,"67,535","104,680"
Eritrea,Eastern Africa,Africa,"66,402","3,452,786"
Samoa,Polynesia,Oceania,"66,023","196,129"
Grenada,Caribbean,Americas,"63,692","111,454"
São Tomé and Príncipe,Middle Africa,Africa,"61,155","211,028"
Bermuda,Northern America,Americas,"60,349","62,756"
Seychelles,Eastern Africa,Africa,"55,677","97,096"
Dominica,Caribbean,Americas,"51,467","71,625"
Cayman Islands,Caribbean,Americas,"49,906","64,174"
Faroe Islands,Northern Europe,Europe,"48,097","48,497"
Saint Kitts and Nevis,Caribbean,Americas,"44,669","52,441"
Tonga,Polynesia,Oceania,"44,558","103,197"
Greenland,Northern America,Americas,"39,242","56,564"
Jersey,Northern Europe,Europe,"38,958",
Monaco,Western Europe,Europe,"37,553","38,682"
Micronesia,Micronesia,Oceania,"37,257","112,640"
Liechtenstein,Western Europe,Europe,"37,201","37,910"
Gibraltar,Southern Europe,Europe,"32,494","33,718"
Marshall Islands,Micronesia,Oceania,"20,560","58,413"
San Marino,Southern Europe,Europe,"20,100","33,785"
Kiribati,Micronesia,Oceania,"16,971","115,847"
British Virgin Islands,Caribbean,Americas,"14,456","29,802"
Anguilla,Caribbean,Americas,"12,043","14,731"
Nauru,Micronesia,Oceania,"6,475","10,670"
Tuvalu,Polynesia,Oceania,"5,520","11,508"
"Saint Helena, Ascension and Tristan da Cunha",Western Africa,Africa,"2,906","6,035"
Falkland Islands,South America,Americas,"2,881","3,234"
Montserrat,Caribbean,Americas,"2,833","4,993"
Wallis and Futuna,Polynesia,Oceania,"1,383","11,661"
Niue,Polynesia,Oceania,"1,034","1,620"
